,time,open,high,low,close,volume
0,2021-05-03 04:15:00,131.121329009,131.518967611,131.061683218,131.310207344,20042
1,2021-05-03 04:30:00,131.35991217,131.41955796,131.141210939,131.280384449,30624
2,2021-05-03 04:45:00,131.240620589,131.32014831,131.171033834,131.220738659,6957
3,2021-05-03 05:00:00,131.220738659,131.330089275,130.972214533,131.081565148,7451
4,2021-05-03 05:15:00,131.071624183,131.101447078,131.031860323,131.071624183,3010
5,2021-05-03 05:30:00,131.111388043,131.190915764,130.932450673,130.932450673,9286
6,2021-05-03 05:45:00,130.833041022,130.922509708,130.723690407,130.793277162,12689
7,2021-05-03 06:00:00,130.833041022,130.872804882,130.793277162,130.872804882,2677
8,2021-05-03 06:15:00,130.902627777,130.922509708,130.902627777,130.922509708,609
9,2021-05-03 06:30:00,131.002037428,131.071624183,130.992096463,131.051742253,3094
10,2021-05-03 06:45:00,131.071624183,131.349971205,131.071624183,131.270443484,16708
11,2021-05-03 07:00:00,131.270443484,131.270443484,130.892686812,130.892686812,13034
12,2021-05-03 07:15:00,130.962273568,131.210797694,130.882745847,131.071624183,60240
13,2021-05-03 07:30:00,131.111388043,131.3797941,131.111388043,131.32014831,60001
14,2021-05-03 07:45:00,131.290325414,131.32014831,131.161092869,131.240620589,79509
15,2021-05-03 08:00:00,131.220738659,131.449380855,131.180974799,131.260502519,37846
16,2021-05-03 08:15:00,131.071624183,131.330089275,131.041801288,131.250561554,222680
17,2021-05-03 08:30:00,131.270443484,131.290325414,131.200856729,131.220738659,102552
18,2021-05-03 08:45:00,131.220738659,131.369853135,131.200856729,131.369853135,73715
19,2021-05-03 09:00:00,131.389735065,131.409616995,131.34003024,131.3797941,74294
20,2021-05-03 09:15:00,131.3797941,131.389735065,131.240620589,131.300266379,94615
21,2021-05-03 09:30:00,131.32014831,131.39967603,131.190915764,131.230679624,89911
22,2021-05-03 09:45:00,131.260502519,132.135307444,131.051742253,132.105484548,6638339
23,2021-05-03 10:00:00,132.115425514,132.567739423,131.837078492,132.419022586,4582054
24,2021-05-03 10:15:00,132.413654465,132.99520092,132.204894199,132.970348508,4687149
25,2021-05-03 10:30:00,132.965378025,133.278518424,132.83614548,133.044905746,4362574
26,2021-05-03 10:45:00,133.049876228,133.258636494,132.632355696,132.657208109,3820884
27,2021-05-03 11:00:00,132.652237626,132.831174997,131.847019457,131.986192968,4167611
28,2021-05-03 11:15:00,131.99116345,132.174971894,131.588554366,131.628318226,3534310
29,2021-05-03 11:30:00,131.618377261,131.817196562,131.35991217,131.523938093,2439300
30,2021-05-03 11:45:00,131.518967611,131.946429108,131.469262785,131.941458625,2223760
31,2021-05-03 12:00:00,131.936488143,132.065720688,131.628318226,132.030927311,1963607
32,2021-05-03 12:15:00,132.030927311,132.135307444,131.847019457,131.896724282,1739114
33,2021-05-03 12:30:00,131.886783317,132.085602618,131.737768251,131.771965171,1671744
34,2021-05-03 12:45:00,131.767491737,131.8917538,131.598495331,131.692934499,1430106
35,2021-05-03 13:00:00,131.697904981,131.767491737,131.528908576,131.668082086,1604586
36,2021-05-03 13:15:00,131.668082086,131.750293867,131.489144715,131.632294612,1597723
37,2021-05-03 13:30:00,131.633288709,131.827137527,131.429498925,131.469262785,1859709
38,2021-05-03 13:45:00,131.45932182,131.807255597,131.43943989,131.737668842,1374110
39,2021-05-03 14:00:00,131.737668842,131.827137527,131.548790506,131.679215967,1496606
40,2021-05-03 14:15:00,131.678023051,132.060750206,131.668181496,132.045838758,2105683
41,2021-05-03 14:30:00,132.045838758,132.102502259,131.850697614,131.981222485,1524109
42,2021-05-03 14:45:00,131.986192968,132.175071304,131.966311038,132.006074898,1642183
43,2021-05-03 15:00:00,132.016015863,132.105484548,131.936488143,132.050809241,1238129
44,2021-05-03 15:15:00,132.055779723,132.194953234,131.986192968,132.061247254,1616155
45,2021-05-03 15:30:00,132.061446073,132.075661653,131.842048975,131.856861013,1570729
46,2021-05-03 15:45:00,131.85198994,132.006074898,131.787373667,131.921576695,1947114
47,2021-05-03 16:00:00,131.924061936,131.946429108,131.613307369,131.767491737,4438734
48,2021-05-03 16:15:00,131.757550772,131.757550772,131.568672436,131.668082086,2445494
49,2021-05-03 16:30:00,131.668082086,131.757550772,131.648200156,131.658141121,34317
50,2021-05-03 16:45:00,131.668082086,131.757550772,131.568672436,131.618377261,29434
51,2021-05-03 17:00:00,131.618377261,131.757550772,131.588554366,131.638259191,101413
52,2021-05-03 17:15:00,131.638259191,131.648200156,131.548790506,131.588554366,22973
53,2021-05-03 17:30:00,131.588554366,131.648200156,131.568672436,131.568672436,24774
54,2021-05-03 17:45:00,131.568672436,131.757550772,131.518967611,131.548790506,28360
55,2021-05-03 18:00:00,131.568672436,131.568672436,131.518967611,131.548790506,20365
56,2021-05-03 18:15:00,131.568672436,131.608436296,131.568672436,131.608436296,17044
