Datetime,Open,High,Low,Close,Volume,6,trading_code
2022-04-07 09:15:00+05:30,2511.6,2514,2478,2478.95,1028152,0,HDFC
2022-04-07 09:30:00+05:30,2479,2494.75,2476.05,2489.25,396414,0,HDFC
2022-04-07 09:45:00+05:30,2489.75,2489.75,2475.45,2476.05,331499,0,HDFC
2022-04-07 10:00:00+05:30,2476.05,2478.45,2472.35,2476.15,316894,0,HDFC
2022-04-07 10:15:00+05:30,2477,2480.5,2471,2472.8,284225,0,HDFC
2022-04-07 10:30:00+05:30,2472.75,2478.95,2472.65,2478.65,170068,0,HDFC
2022-04-07 10:45:00+05:30,2478.65,2478.65,2473,2473.75,177003,0,HDFC
2022-04-07 11:00:00+05:30,2473.8,2479.95,2472,2473,164632,0,HDFC
2022-04-07 11:15:00+05:30,2473.05,2479.9,2472.1,2477.7,171658,0,HDFC
2022-04-07 11:30:00+05:30,2478.5,2481.45,2475.15,2476.5,204140,0,HDFC
2022-04-07 11:45:00+05:30,2476.55,2484.45,2476.5,2482.75,280941,0,HDFC
2022-04-07 12:00:00+05:30,2482.75,2494.15,2482.05,2491.25,564723,0,HDFC
2022-04-07 12:15:00+05:30,2491,2491.35,2478,2486.8,211114,0,HDFC
2022-04-07 12:30:00+05:30,2486.75,2494.7,2483.3,2490.75,213063,0,HDFC
2022-04-07 12:45:00+05:30,2490.3,2491.6,2483.15,2486.1,160350,0,HDFC
2022-04-07 13:00:00+05:30,2486.5,2490.35,2480.2,2486.55,177365,0,HDFC
2022-04-07 13:15:00+05:30,2486.55,2490.25,2485,2485.05,163021,0,HDFC
2022-04-07 13:30:00+05:30,2485.05,2485.1,2473.85,2475.2,246967,0,HDFC
2022-04-07 13:45:00+05:30,2475,2476.8,2466.25,2473.2,342918,0,HDFC
2022-04-07 14:00:00+05:30,2473.2,2477,2470.55,2472.05,297951,0,HDFC
2022-04-07 14:15:00+05:30,2472,2472.05,2460.65,2471.45,403260,0,HDFC
2022-04-07 14:30:00+05:30,2471,2472.05,2466.15,2467.1,208309,0,HDFC
2022-04-07 14:45:00+05:30,2467.1,2470.9,2462.2,2465.25,281778,0,HDFC
2022-04-07 15:00:00+05:30,2465.05,2467.75,2458.15,2459.65,657941,0,HDFC
2022-04-07 15:15:00+05:30,2459.6,2467,2459.2,2466,608545,0,HDFC
2022-04-08 09:15:00+05:30,2490,2490,2448,2449.95,1022818,0,HDFC
2022-04-08 09:30:00+05:30,2450.15,2451.4,2443,2445.25,669326,0,HDFC
2022-04-08 09:45:00+05:30,2444.65,2451.65,2440.25,2447.25,272375,0,HDFC
2022-04-08 10:00:00+05:30,2446.75,2455,2440.05,2452.05,607031,0,HDFC
2022-04-08 10:15:00+05:30,2452.05,2453.95,2429.7,2437.55,497605,0,HDFC
2022-04-08 10:30:00+05:30,2436.6,2439.05,2428.4,2435.65,740258,0,HDFC
2022-04-08 10:45:00+05:30,2435.75,2440,2434,2438.15,290764,0,HDFC
2022-04-08 11:00:00+05:30,2438.2,2438.5,2428,2431.8,250641,0,HDFC
2022-04-08 11:15:00+05:30,2431.55,2438,2430.8,2434.9,157629,0,HDFC
2022-04-08 11:30:00+05:30,2434.9,2438.8,2431,2437.1,159044,0,HDFC
2022-04-08 11:45:00+05:30,2437.2,2447.45,2436.8,2445.6,226054,0,HDFC
2022-04-08 12:00:00+05:30,2445.8,2452,2445.65,2449.85,279456,0,HDFC
2022-04-08 12:15:00+05:30,2449.9,2460.85,2449.9,2457.1,245769,0,HDFC
2022-04-08 12:30:00+05:30,2457.45,2471.3,2453.9,2466.45,333232,0,HDFC
2022-04-08 12:45:00+05:30,2466.25,2466.5,2458.1,2462.05,306929,0,HDFC
2022-04-08 13:00:00+05:30,2462.5,2462.5,2453.65,2459.8,281075,0,HDFC
2022-04-08 13:15:00+05:30,2459.7,2461.05,2450.35,2452.6,221659,0,HDFC
2022-04-08 13:30:00+05:30,2452.6,2465.95,2448.55,2464,376424,0,HDFC
2022-04-08 13:45:00+05:30,2463.4,2467,2459.8,2466.85,217848,0,HDFC
2022-04-08 14:00:00+05:30,2466.85,2476.7,2466.35,2472.95,384765,0,HDFC
2022-04-08 14:15:00+05:30,2473,2474,2458.75,2460.9,367979,0,HDFC
2022-04-08 14:30:00+05:30,2461,2466,2458.55,2461.3,235179,0,HDFC
2022-04-08 14:45:00+05:30,2461.85,2468.05,2460.85,2466.5,300286,0,HDFC
2022-04-08 15:00:00+05:30,2466.7,2466.7,2453.75,2453.75,483365,0,HDFC
2022-04-08 15:15:00+05:30,2454.85,2460.45,2452.3,2457.55,525040,0,HDFC
2022-04-11 09:15:00+05:30,2440,2445.15,2429,2433.8,421903,0,HDFC
2022-04-11 09:30:00+05:30,2433.5,2443.2,2430.45,2436.75,226221,0,HDFC
2022-04-11 09:45:00+05:30,2436.65,2442,2436.05,2440.9,83834,0,HDFC
2022-04-11 10:00:00+05:30,2440.85,2453.4,2435.75,2449.5,246978,0,HDFC
2022-04-11 10:15:00+05:30,2449.5,2451.5,2443.5,2450.3,103752,0,HDFC
2022-04-11 10:30:00+05:30,2450.3,2450.95,2441.4,2443.9,187044,0,HDFC
2022-04-11 10:45:00+05:30,2443.85,2447,2442.2,2444.65,41680,0,HDFC
2022-04-11 11:00:00+05:30,2444.65,2449.75,2438.8,2447.45,164110,0,HDFC
2022-04-11 11:15:00+05:30,2447.45,2449.9,2444.1,2447.95,84422,0,HDFC
2022-04-11 11:30:00+05:30,2448,2450,2447,2450,111488,0,HDFC
2022-04-11 11:45:00+05:30,2450,2450.7,2445,2447,89818,0,HDFC
2022-04-11 12:00:00+05:30,2447,2449.35,2437.6,2443.4,82816,0,HDFC
2022-04-11 12:15:00+05:30,2442.75,2444,2437.5,2437.9,91271,0,HDFC
2022-04-11 12:30:00+05:30,2438.95,2439.75,2432.1,2438.3,82655,0,HDFC
2022-04-11 12:45:00+05:30,2438.3,2442.65,2435.1,2442.65,106943,0,HDFC
2022-04-11 13:00:00+05:30,2443.15,2445,2438.55,2443,182143,0,HDFC
2022-04-11 13:15:00+05:30,2443,2444,2437.1,2438.25,89604,0,HDFC
2022-04-11 13:30:00+05:30,2439,2442,2436.6,2437.7,103313,0,HDFC
2022-04-11 13:45:00+05:30,2437.55,2439.5,2427.45,2430,146786,0,HDFC
2022-04-11 14:00:00+05:30,2431.15,2435.95,2429.4,2435.65,152354,0,HDFC
2022-04-11 14:15:00+05:30,2435.65,2436.55,2430.95,2432.85,180271,0,HDFC
2022-04-11 14:30:00+05:30,2432.2,2434.1,2427.35,2427.35,183063,0,HDFC
2022-04-11 14:45:00+05:30,2427.55,2430.85,2422.5,2425.25,236660,0,HDFC
2022-04-11 15:00:00+05:30,2426.3,2428.75,2421.1,2426,359836,0,HDFC
2022-04-11 15:15:00+05:30,2426.55,2428.9,2421.45,2427,391846,0,HDFC
2022-04-12 09:15:00+05:30,2411.2,2426,2400,2418.45,638812,0,HDFC
2022-04-12 09:30:00+05:30,2418.45,2443.7,2415.9,2441.75,440916,0,HDFC
2022-04-12 09:45:00+05:30,2441.3,2443.7,2424,2424,358628,0,HDFC
2022-04-12 10:00:00+05:30,2423.7,2429,2418.6,2423.6,182524,0,HDFC
2022-04-12 10:15:00+05:30,2423.8,2427,2418.9,2425.05,249847,0,HDFC
2022-04-12 10:30:00+05:30,2425.5,2437,2423.5,2432.45,190683,0,HDFC
2022-04-12 10:45:00+05:30,2432.45,2433.25,2416.75,2420,201550,0,HDFC
2022-04-12 11:00:00+05:30,2419.9,2422.3,2417.05,2420.5,120754,0,HDFC
2022-04-12 11:15:00+05:30,2420.5,2421.6,2418.55,2420,113656,0,HDFC
2022-04-12 11:30:00+05:30,2420,2425,2414,2424.1,104164,0,HDFC
2022-04-12 11:45:00+05:30,2424.1,2426,2418.75,2423.15,112024,0,HDFC
2022-04-12 12:00:00+05:30,2424,2428.4,2422.75,2422.8,150433,0,HDFC
2022-04-12 12:15:00+05:30,2422.7,2423.3,2418,2419.05,157078,0,HDFC
2022-04-12 12:30:00+05:30,2419.05,2420.4,2415.35,2419.15,120256,0,HDFC
2022-04-12 12:45:00+05:30,2419.15,2422,2415.45,2418.25,152299,0,HDFC
2022-04-12 13:00:00+05:30,2418.5,2421,2417,2419,71443,0,HDFC
2022-04-12 13:15:00+05:30,2419,2422.45,2415,2418.9,156142,0,HDFC
2022-04-12 13:30:00+05:30,2418.65,2423,2409.05,2411.75,256597,0,HDFC
2022-04-12 13:45:00+05:30,2411.1,2416.35,2409.05,2416.15,110702,0,HDFC
2022-04-12 14:00:00+05:30,2416.2,2425.85,2416.15,2423.8,160486,0,HDFC
2022-04-12 14:15:00+05:30,2423.7,2432.45,2422.25,2432,213430,0,HDFC
2022-04-12 14:30:00+05:30,2432,2439.05,2429.3,2436.6,204489,0,HDFC
2022-04-12 14:45:00+05:30,2436.7,2437.5,2428,2428.55,240391,0,HDFC
